Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
-0.88592529296875;884.10473076785;-8.7432861328125E-06;-0.88653564453125;294;10 µA
-0.884857177734375;884.318353767311;-8.795166015625E-06;-0.88592529296875;295;10 µA
-0.8837890625;884.531976766771;-8.233642578125E-06;-0.88470458984375;296;10 µA
-0.882720947265625;884.745599766232;-8.5723876953125E-06;-0.88348388671875;297;10 µA
-0.88165283203125;884.959222765693;-8.6395263671875E-06;-0.8831787109375;298;10 µA
-0.880584716796875;885.172845765153;-7.7301025390625E-06;-0.88043212890625;299;10 µA
-0.8795166015625;885.386468764614;-7.8338623046875E-06;-0.88104248046875;300;10 µA
-0.878448486328125;885.600091764075;-8.2763671875E-06;-0.87860107421875;301;10 µA
-0.87738037109375;885.813714763535;-7.1868896484375E-06;-0.877685546875;302;10 µA
-0.876312255859375;886.027337762996;-7.1746826171875E-06;-0.8782958984375;303;10 µA
-0.875244140625;886.240960762457;-7.8521728515625E-06;-0.87646484375;304;10 µA
-0.874176025390625;886.454583761917;-6.817626953125E-06;-0.87432861328125;305;10 µA
-0.87310791015625;886.668206761378;-6.671142578125E-06;-0.87432861328125;306;10 µA
-0.872039794921875;886.881829760839;-7.2509765625E-06;-0.87310791015625;307;10 µA
-0.8709716796875;887.095452760299;-6.524658203125E-06;-0.87188720703125;308;10 µA
-0.869903564453125;887.30907575976;-6.2835693359375E-06;-0.87066650390625;309;10 µA
-0.86883544921875;887.522698759221;-6.67724609375E-06;-0.87066650390625;310;10 µA
-0.867767333984375;887.736321758681;-6.15234375E-06;-0.867919921875;311;10 µA
-0.86669921875;887.949944758142;-5.816650390625E-06;-0.8673095703125;312;10 µA
-0.865631103515625;888.163567757603;-6.097412109375E-06;-0.8660888671875;313;10 µA
-0.86456298828125;888.377190757063;-5.657958984375E-06;-0.8636474609375;314;10 µA
-0.863494873046875;888.590813756524;-4.9774169921875E-06;-0.865478515625;315;10 µA
-0.8624267578125;888.804436755985;-5.6976318359375E-06;-0.86273193359375;316;10 µA
-0.861358642578125;889.018059755445;-5.1361083984375E-06;-0.86181640625;317;10 µA
-0.86029052734375;889.231682754906;-4.3121337890625E-06;-0.8612060546875;318;10 µA
-0.859222412109375;889.445305754366;-5.1055908203125E-06;-0.85968017578125;319;10 µA
-0.858154296875;889.658928753827;-4.888916015625E-06;-0.859375;320;10 µA
-0.857086181640625;889.872551753288;-3.912353515625E-06;-0.858154296875;321;10 µA
-0.85601806640625;890.086174752748;-4.486083984375E-06;-0.8563232421875;322;10 µA
-0.854949951171875;890.299797752209;-4.3212890625E-06;-0.855712890625;323;10 µA
-0.8538818359375;890.51342075167;-3.52783203125E-06;-0.85418701171875;324;10 µA
-0.852813720703125;890.72704375113;-3.759765625E-06;-0.8544921875;325;10 µA
-0.85174560546875;890.940666750591;-3.7872314453125E-06;-0.85296630859375;326;10 µA
-0.850677490234375;891.154289750052;-2.935791015625E-06;-0.85235595703125;327;10 µA
-0.849609375;891.367912749512;-3.277587890625E-06;-0.850830078125;328;10 µA
-0.848541259765625;891.581535748973;-3.399658203125E-06;-0.8489990234375;329;10 µA
-0.84747314453125;891.795158748434;-2.5482177734375E-06;-0.84869384765625;330;10 µA
-0.846405029296875;892.008781747894;-2.5054931640625E-06;-0.84716796875;331;10 µA
-0.8453369140625;892.222404747355;-3.094482421875E-06;-0.84625244140625;332;10 µA
-0.844268798828125;892.436027746816;-2.0172119140625E-06;-0.84503173828125;333;10 µA
-0.84320068359375;892.649650746276;-1.9317626953125E-06;-0.84442138671875;334;10 µA
-0.842132568359375;892.863273745737;-2.6336669921875E-06;-0.84320068359375;335;10 µA
-0.841064453125;893.076896745198;-1.763916015625E-06;-0.84228515625;336;10 µA
-0.839996337890625;893.290519744658;-1.446533203125E-06;-0.84136962890625;337;10 µA
-0.83892822265625;893.504142744119;-1.89208984375E-06;-0.83953857421875;338;10 µA
-0.837860107421875;893.71776574358;-1.348876953125E-06;-0.83892822265625;339;10 µA
-0.8367919921875;893.93138874304;-1.007080078125E-06;-0.83709716796875;340;10 µA
